,0
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,9229.779944847898
Total Return [%],-7.702200551521019
Benchmark Return [%],-15.556005551041007
Max Gross Exposure [%],100.0
Total Fees Paid,38.77071293750761
Max Drawdown [%],7.702200551521019
Max Drawdown Duration,225 days 00:00:00
Total Trades,2
Total Closed Trades,2
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],0.0
Best Trade [%],-2.293969467775456
Worst Trade [%],-5.5429600691086005
Avg Winning Trade [%],
Avg Losing Trade [%],-3.918464768442028
Avg Winning Trade Duration,
Avg Losing Trade Duration,1 days 00:00:00
Profit Factor,0.0
Expectancy,-385.11002757605047
Sharpe Ratio,-1.1851521589444642
Calmar Ratio,-0.7307535493814269
Omega Ratio,0.0
Sortino Ratio,-1.1840467859753816
