,0
Start,2024-07-31 00:00:00
End,2026-07-31 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,10015.15886629617
Total Return [%],0.15158866296169435
Benchmark Return [%],-10.476144348399675
Max Gross Exposure [%],100.0
Total Fees Paid,147.409209195273
Max Drawdown [%],39.31994100340839
Max Drawdown Duration,280 days 00:00:00
Total Trades,9
Total Closed Trades,8
Total Open Trades,1
Open Trade PnL,0.0
Win Rate [%],12.5
Best Trade [%],62.14754969744042
Worst Trade [%],-17.626540998788094
Avg Winning Trade [%],62.14754969744042
Avg Losing Trade [%],-6.72567511623927
Avg Winning Trade Duration,100 days 00:00:00
Avg Losing Trade Duration,15 days 20:34:17.142857
Profit Factor,0.9657773478709427
Expectancy,-18.2186849658342
Sharpe Ratio,0.15169753047923015
Calmar Ratio,0.0027858911599967216
Omega Ratio,1.0332357329569966
Sortino Ratio,0.20767225205326373
