,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,8614.883181985719
Total Return [%],-13.851168180142814
Benchmark Return [%],-15.184940408809556
Max Gross Exposure [%],100.0
Total Fees Paid,105.78615002278298
Max Drawdown [%],34.38096741948967
Max Drawdown Duration,282 days 00:00:00
Total Trades,7
Total Closed Trades,6
Total Open Trades,1
Open Trade PnL,-670.8172654136215
Win Rate [%],16.666666666666664
Best Trade [%],35.88655809971208
Worst Trade [%],-13.79077892747782
Avg Winning Trade [%],35.88655809971208
Avg Losing Trade [%],-7.238181671080936
Avg Winning Trade Duration,100 days 00:00:00
Avg Losing Trade Duration,17 days 04:48:00
Profit Factor,0.774296948334138
Expectancy,-119.04992543344378
Sharpe Ratio,-0.2813519722920712
Calmar Ratio,-0.2982531879110804
Omega Ratio,0.9353718466287015
Sortino Ratio,-0.38768783294755405
