,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,10882.541205091764
Total Return [%],8.825412050917638
Benchmark Return [%],-0.26790367881498467
Max Gross Exposure [%],100.0
Total Fees Paid,474.28220764800204
Max Drawdown [%],39.39772360800896
Max Drawdown Duration,403 days 00:00:00
Total Trades,23
Total Closed Trades,23
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],43.47826086956522
Best Trade [%],20.165330681761905
Worst Trade [%],-8.15844052986194
Avg Winning Trade [%],8.227740381857778
Avg Losing Trade [%],-5.177311493111119
Avg Winning Trade Duration,16 days 09:35:59.999999
Avg Losing Trade Duration,6 days 09:13:50.769230
Profit Factor,1.12546565790013
Expectancy,38.37135674312003
Sharpe Ratio,0.3541395319409682
Calmar Ratio,0.1606530276569211
Omega Ratio,1.0726135423750593
Sortino Ratio,0.5303482906003361
