,0
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,9762.757563533325
Total Return [%],-2.3724243646667493
Benchmark Return [%],8.654313566631068
Max Gross Exposure [%],100.0
Total Fees Paid,232.28463273097168
Max Drawdown [%],24.471220936199547
Max Drawdown Duration,403 days 00:00:00
Total Trades,13
Total Closed Trades,12
Total Open Trades,1
Open Trade PnL,-752.8594259204347
Win Rate [%],75.0
Best Trade [%],8.343967111163922
Worst Trade [%],-13.20946712935801
Avg Winning Trade [%],3.0211880061758802
Avg Losing Trade [%],-6.7978579399418635
Avg Winning Trade Duration,16 days 21:20:00
Avg Losing Trade Duration,19 days 16:00:00
Profit Factor,1.2608516422262885
Expectancy,42.96808245448008
Sharpe Ratio,0.07476338426711941
Calmar Ratio,-0.07072025912071947
Omega Ratio,1.0155905942468273
Sortino Ratio,0.1055874513784123
