,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,7585.317258499044
Total Return [%],-24.146827415009557
Benchmark Return [%],13.421142419179532
Max Gross Exposure [%],100.0
Total Fees Paid,515.388045467057
Max Drawdown [%],31.353974347490247
Max Drawdown Duration,478 days 00:00:00
Total Trades,32
Total Closed Trades,32
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],18.75
Best Trade [%],13.278757525969038
Worst Trade [%],-4.790827572935294
Avg Winning Trade [%],5.832405207302107
Avg Losing Trade [%],-2.320036310071468
Avg Winning Trade Duration,20 days 12:00:00
Avg Losing Trade Duration,4 days 16:36:55.384615
Profit Factor,0.5146529183066075
Expectancy,-75.45883567190498
Sharpe Ratio,-0.7542460556525282
Calmar Ratio,-0.5795667510833917
Omega Ratio,0.8653934743968209
Sortino Ratio,-1.0079749456375329
