,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,10976.354938645003
Total Return [%],9.76354938645003
Benchmark Return [%],26.16284336777619
Max Gross Exposure [%],100.0
Total Fees Paid,82.92080385533032
Max Drawdown [%],10.925269153858562
Max Drawdown Duration,207 days 00:00:00
Total Trades,4
Total Closed Trades,4
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],50.0
Best Trade [%],10.055999208280491
Worst Trade [%],-5.329199588140026
Avg Winning Trade [%],8.230408592551354
Avg Losing Trade [%],-3.156744964421336
Avg Winning Trade Duration,22 days 12:00:00
Avg Losing Trade Duration,3 days 12:00:00
Profit Factor,2.5222468524574206
Expectancy,244.0887346612506
Sharpe Ratio,0.4347416147756753
Calmar Ratio,0.6388283656736716
Omega Ratio,1.214747548071183
Sortino Ratio,0.7476267732711073
