,0
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,14446.891691355031
Total Return [%],44.46891691355031
Benchmark Return [%],24.726454259224617
Max Gross Exposure [%],100.0
Total Fees Paid,162.40031279863075
Max Drawdown [%],26.3436356960139
Max Drawdown Duration,175 days 00:00:00
Total Trades,7
Total Closed Trades,6
Total Open Trades,1
Open Trade PnL,-2184.9244959905773
Win Rate [%],83.33333333333334
Best Trade [%],21.07641952318922
Worst Trade [%],-5.1735679867568924
Avg Winning Trade [%],12.034943473124333
Avg Losing Trade [%],-5.1735679867568924
Avg Winning Trade Duration,27 days 19:12:00
Avg Losing Trade Duration,53 days 00:00:00
Profit Factor,13.83146954002693
Expectancy,1105.3026978909345
Sharpe Ratio,0.9493939409035165
Calmar Ratio,1.164168110578742
Omega Ratio,1.2330847264857185
Sortino Ratio,1.5454219341796647
