,TTKOM.IS
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,5917.639664070183
Total Return [%],-40.82360335929817
Benchmark Return [%],7.036668351585473
Max Gross Exposure [%],100.0
Total Fees Paid,265.65564670157397
Max Drawdown [%],44.37925165970364
Max Drawdown Duration,461 days 00:00:00
Total Trades,17
Total Closed Trades,17
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],29.411764705882355
Best Trade [%],7.996603372964279
Worst Trade [%],-9.334048182073476
Avg Winning Trade [%],4.548956981765838
Avg Losing Trade [%],-6.007594174933232
Avg Winning Trade Duration,32 days 04:48:00
Avg Losing Trade Duration,6 days 20:00:00
Profit Factor,0.2981632976330131
Expectancy,-240.13884328998915
Sharpe Ratio,-1.0568397585543765
Calmar Ratio,-0.7111244404573598
Omega Ratio,0.8082031781047702
Sortino Ratio,-1.3581018374564318
