,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,7506.757960634017
Total Return [%],-24.932420393659832
Benchmark Return [%],11.875001589456957
Max Gross Exposure [%],100.0
Total Fees Paid,69.54225466803474
Max Drawdown [%],35.922574957882496
Max Drawdown Duration,339 days 00:00:00
Total Trades,4
Total Closed Trades,4
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],25.0
Best Trade [%],8.628778660115517
Worst Trade [%],-14.010485738758641
Avg Winning Trade [%],8.628778660115517
Avg Losing Trade [%],-11.551774399317793
Avg Winning Trade Duration,81 days 00:00:00
Avg Losing Trade Duration,47 days 16:00:00
Profit Factor,0.21742229767400312
Expectancy,-623.3105098414958
Sharpe Ratio,-0.5549480854962241
Calmar Ratio,-0.5230016525444259
Omega Ratio,0.8876728976882888
Sortino Ratio,-0.7085882930314172
