,0
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,8596.642101632011
Total Return [%],-14.03357898367989
Benchmark Return [%],3.680979920027161
Max Gross Exposure [%],100.0
Total Fees Paid,9.99000999000964
Max Drawdown [%],24.158561076756964
Max Drawdown Duration,57 days 00:00:00
Total Trades,1
Total Closed Trades,0
Total Open Trades,1
Open Trade PnL,0.0
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg Winning Trade [%],
Avg Losing Trade [%],
Avg Winning Trade Duration,
Avg Losing Trade Duration,
Profit Factor,
Expectancy,
Sharpe Ratio,-0.5209079847937622
Calmar Ratio,-0.4309755816884541
Omega Ratio,0.8421756291043899
Sortino Ratio,-0.7090844224741764
