,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,9209.763702301092
Total Return [%],-7.902362976989079
Benchmark Return [%],11.875001589456957
Max Gross Exposure [%],100.0
Total Fees Paid,118.34087077711838
Max Drawdown [%],29.706875262206246
Max Drawdown Duration,339 days 00:00:00
Total Trades,6
Total Closed Trades,6
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],33.33333333333333
Best Trade [%],18.939620109977614
Worst Trade [%],-12.548704699430566
Avg Winning Trade [%],13.109793490822257
Avg Losing Trade [%],-7.725712725120992
Avg Winning Trade Duration,65 days 12:00:00
Avg Losing Trade Duration,18 days 12:00:00
Profit Factor,0.7489839917790704
Expectancy,-131.70604961648525
Sharpe Ratio,-0.08596152209591283
Calmar Ratio,-0.19519608896680568
Omega Ratio,0.981277547251642
Sortino Ratio,-0.11178026437547176
