,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,21902.93066310752
Total Return [%],119.0293066310752
Benchmark Return [%],142.62612101025786
Max Gross Exposure [%],100.0
Total Fees Paid,66.01091347940952
Max Drawdown [%],21.306713955804778
Max Drawdown Duration,76 days 00:00:00
Total Trades,4
Total Closed Trades,3
Total Open Trades,1
Open Trade PnL,13075.210571512856
Win Rate [%],0.0
Best Trade [%],-2.4517897345310775
Worst Trade [%],-6.813008340301323
Avg Winning Trade [%],
Avg Losing Trade [%],-4.054996417698989
Avg Winning Trade Duration,
Avg Losing Trade Duration,12 days 08:00:00
Profit Factor,0.0
Expectancy,-390.7599694684463
Sharpe Ratio,1.8189149698875036
Calmar Ratio,3.5875410400040595
Omega Ratio,1.36497483541719
Sortino Ratio,2.8261465690973586
