,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,12611.458748370747
Total Return [%],26.114587483707474
Benchmark Return [%],142.62612101025786
Max Gross Exposure [%],100.0
Total Fees Paid,224.45688846772853
Max Drawdown [%],20.630966711846714
Max Drawdown Duration,277 days 00:00:00
Total Trades,11
Total Closed Trades,11
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],72.72727272727273
Best Trade [%],17.01117745167306
Worst Trade [%],-5.300137766765916
Avg Winning Trade [%],4.4929553622893525
Avg Losing Trade [%],-3.6003609699942576
Avg Winning Trade Duration,16 days 09:00:00
Avg Losing Trade Duration,29 days 16:00:00
Profit Factor,3.3609462865182063
Expectancy,237.40534076097703
Sharpe Ratio,0.7780420046972093
Calmar Ratio,0.8868859689360808
Omega Ratio,1.181150382606052
Sortino Ratio,1.2446960397452056
