,0
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,13046.956588303185
Total Return [%],30.469565883031848
Benchmark Return [%],35.84905417872566
Max Gross Exposure [%],100.0
Total Fees Paid,263.7706483145377
Max Drawdown [%],23.48506037683559
Max Drawdown Duration,206 days 00:00:00
Total Trades,12
Total Closed Trades,12
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],58.333333333333336
Best Trade [%],22.50415326037333
Worst Trade [%],-12.630327020954649
Avg Winning Trade [%],10.207925050536694
Avg Losing Trade [%],-7.605699032314151
Avg Winning Trade Duration,24 days 17:08:34.285714
Avg Losing Trade Duration,9 days 09:36:00
Profit Factor,1.7237051998413908
Expectancy,253.91304902526548
Sharpe Ratio,0.7694871358180702
Calmar Ratio,0.9025142625946747
Omega Ratio,1.1781856639254469
Sortino Ratio,1.1555520956745806
