,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,13428.640509278395
Total Return [%],34.28640509278395
Benchmark Return [%],65.90546945137554
Max Gross Exposure [%],100.0
Total Fees Paid,62.7989370711203
Max Drawdown [%],18.41808498326168
Max Drawdown Duration,222 days 00:00:00
Total Trades,3
Total Closed Trades,2
Total Open Trades,1
Open Trade PnL,-687.0303130643679
Win Rate [%],100.0
Best Trade [%],22.910550800646
Worst Trade [%],14.881326297613754
Avg Winning Trade [%],18.895938549129877
Avg Losing Trade [%],
Avg Winning Trade Duration,16 days 12:00:00
Avg Losing Trade Duration,
Profit Factor,inf
Expectancy,2057.8354111713816
Sharpe Ratio,0.9746123100824289
Calmar Ratio,1.292223299915367
Omega Ratio,1.322039851699666
Sortino Ratio,1.7352025393226247
