,0
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,15305.546674106048
Total Return [%],53.055466741060485
Benchmark Return [%],35.84905417872566
Max Gross Exposure [%],100.0
Total Fees Paid,294.05084325689944
Max Drawdown [%],22.90996916986672
Max Drawdown Duration,193 days 00:00:00
Total Trades,11
Total Closed Trades,10
Total Open Trades,1
Open Trade PnL,-198.2443999521456
Win Rate [%],70.0
Best Trade [%],14.988086798900882
Worst Trade [%],-8.909333710813291
Avg Winning Trade [%],10.622289044376412
Avg Losing Trade [%],-8.43176948676354
Avg Winning Trade Duration,16 days 00:00:00
Avg Losing Trade Duration,21 days 00:00:00
Profit Factor,2.418981992155289
Expectancy,550.3791074058192
Sharpe Ratio,1.1111768334384564
Calmar Ratio,1.5722529452570757
Omega Ratio,1.2574066882820598
Sortino Ratio,1.8124693540131562
