,VESBE.IS
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,7192.278094518972
Total Return [%],-28.077219054810282
Benchmark Return [%],-71.9042109676326
Max Gross Exposure [%],100.0
Total Fees Paid,170.87047974109942
Max Drawdown [%],30.943511493049254
Max Drawdown Duration,228 days 00:00:00
Total Trades,10
Total Closed Trades,10
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],30.0
Best Trade [%],7.669740995441125
Worst Trade [%],-8.171757332889745
Avg Winning Trade [%],3.411460469978908
Avg Losing Trade [%],-5.924725530664573
Avg Winning Trade Duration,24 days 08:00:00
Avg Losing Trade Duration,7 days 10:17:08.571428
Profit Factor,0.23313858946170418
Expectancy,-280.77219054810286
Sharpe Ratio,-0.9876360085393291
Calmar Ratio,-0.6849972195835411
Omega Ratio,0.7578652110303596
Sortino Ratio,-1.4243285176842846
