,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,6551.3534368452665
Total Return [%],-34.48646563154733
Benchmark Return [%],-69.52012363469142
Max Gross Exposure [%],100.0
Total Fees Paid,103.91602208779108
Max Drawdown [%],49.07891567589746
Max Drawdown Duration,392 days 00:00:00
Total Trades,7
Total Closed Trades,6
Total Open Trades,1
Open Trade PnL,-42.443642584030385
Win Rate [%],33.33333333333333
Best Trade [%],11.80104563860108
Worst Trade [%],-25.359107597127934
Avg Winning Trade [%],9.611317011328426
Avg Losing Trade [%],-13.377029561663944
Avg Winning Trade Duration,20 days 00:00:00
Avg Losing Trade Duration,51 days 12:00:00
Profit Factor,0.29667499744346937
Expectancy,-567.7004867617838
Sharpe Ratio,-0.9910401750938259
Calmar Ratio,-0.5375363910189097
Omega Ratio,0.8118484814635427
Sortino Ratio,-1.4580879888485478
