,VESBE.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,5656.633002587904
Total Return [%],-43.43366997412096
Benchmark Return [%],-70.91088794990851
Max Gross Exposure [%],100.0
Total Fees Paid,124.72982972246218
Max Drawdown [%],51.279519438782096
Max Drawdown Duration,386 days 00:00:00
Total Trades,8
Total Closed Trades,8
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],37.5
Best Trade [%],3.140024044308188
Worst Trade [%],-28.502059691179703
Avg Winning Trade [%],2.4963540972073153
Avg Losing Trade [%],-11.562855342116015
Avg Winning Trade Duration,15 days 08:00:00
Avg Losing Trade Duration,32 days 09:36:00
Profit Factor,0.13580934811777515
Expectancy,-542.920874676512
Sharpe Ratio,-1.6010554801487127
Calmar Ratio,-0.6603605595105575
Omega Ratio,0.699498108230129
Sortino Ratio,-2.167442722095553
