,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,13547.152968716679
Total Return [%],35.471529687166786
Benchmark Return [%],16.394563485419013
Max Gross Exposure [%],100.0
Total Fees Paid,487.6370007395742
Max Drawdown [%],19.435232862814146
Max Drawdown Duration,119 days 00:00:00
Total Trades,21
Total Closed Trades,20
Total Open Trades,1
Open Trade PnL,-294.7947124895163
Win Rate [%],50.0
Best Trade [%],21.07628257002802
Worst Trade [%],-8.234386068160946
Avg Winning Trade [%],9.028724180332723
Avg Losing Trade [%],-5.0715519866677505
Avg Winning Trade Duration,18 days 04:48:00
Avg Losing Trade Duration,9 days 04:47:59.999999
Profit Factor,1.6305462800817139
Expectancy,192.09738406030982
Sharpe Ratio,0.7700706325509509
Calmar Ratio,1.2652574511682746
Omega Ratio,1.1564511998750504
Sortino Ratio,1.1973577849089276
